"","id","Time.results.were.received","MD5.hash.of.participant's.IP.address","Controller.name","Item.number","Element.number","Type","Item","Field.name","rep.equation","RT.equation","completion","RT.completion","res.equation","cor.equation","NP1.completion","nbr.completion","cor.completion","halfsession","helpsession","typeverbe","prompt","vtype","equation","NombreNP1","comp.graph","age.x","age.y","age_cent","age"
"1","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",41,0,"stat_low","16","in","56","27500","ne faisaient qu'exécuter les ordres.","17573","56","0.5","pl","pl","0.5",0.5,1,"stat","high",-0.5,-0.5,0.5,1,NA,25,-0.64710281153949,NA
"2","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",44,0,"percep_low","17","in","36","6465","pleuraient.","11161","17","-0.5","pl","pl","0.5",0.5,2,"percep","high",0.5,-0.5,0.5,1,NA,25,-0.64710281153949,NA
"3","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",20,0,"percep_high","5","in","63","7831","racontait son cours avec passion.","33617","63","0.5","sg","sg","0.5",0.5,3,"percep","low",0.5,0.5,-0.5,1,NA,25,-0.64710281153949,NA
"4","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",45,0,"stat_low","18","in","66","7359","se comportait comme un cochon.","20228","66","0.5","sg","sg","0.5",0.5,4,"stat","high",-0.5,-0.5,-0.5,1,NA,25,-0.64710281153949,NA
"5","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",49,0,"stat_low","20","in","107","11413","leur a intimé de continuer l'entraînement.","33729","117","-0.5","sg","sg","0.5",0.5,5,"stat","high",-0.5,-0.5,-0.5,1,NA,25,-0.64710281153949,NA
"6","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",48,0,"percep_low","19","in","50","4908","semblait plus serein que les autres.","16018","50","0.5","sg","sg","0.5",0.5,6,"percep","high",0.5,-0.5,-0.5,1,NA,25,-0.64710281153949,NA
"7","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",36,0,"percep_low","13","in","7","3757","cachaient forcément quelque chose.","20749","7","0.5","pl","pl","0.5",0.5,7,"percep","high",0.5,-0.5,0.5,1,NA,25,-0.64710281153949,NA
"8","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",13,0,"stat_high","2","in","15","3873","a porté plainte pour diffamation.","22438","15","0.5","pl","sg","-0.5",0.5,8,"stat","low",-0.5,0.5,0.5,0,NA,25,-0.64710281153949,NA
"9","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",25,0,"stat_high","8","in","21","9557","lui ont promis une pyjama party.","20795","21","0.5","pl","pl","0.5",0.5,9,"stat","low",-0.5,0.5,0.5,1,NA,25,-0.64710281153949,NA
"10","10",1558705402,"09a9464379103c068344d8d1307521d8","completion",29,0,"stat_high","10","in","45","5371","devenait sénile avec le temps.","19586","45","0.5","sg","sg","0.5",0.5,10,"stat","low",-0.5,0.5,-0.5,1,NA,25,-0.64710281153949,NA
