"","effect","mean","prob_greater","prob_smaller","min","max","l95","h95","l85","h85"
"1","b_vt",0.484673447682178,0.986666666666667,0.0133333333333333,-0.410344870815986,1.39943524859325,0.0730340197282839,0.909823516993448,0.189539103467649,0.781920289939456
"2","b_pr",0.186091421432123,0.970666666666667,0.0293333333333333,-0.286033066976178,0.615177638817883,-0.00886529067886894,0.391076839472856,0.0432176520874298,0.332094469650529
"3","b_slow",-0.0574459824208193,0.301,0.699,-0.448624619658622,0.338218086940576,-0.275322749220871,0.159652938009655,-0.216715044239736,0.0983502196827227
"4","b_agcent",-0.809059925574227,0.000333333333333333,0.999666666666667,-1.54769241893106,0.0872696512978468,-1.24740985798844,-0.354221543190696,-1.1251030938838,-0.481056837105212
"5","b_vt:pr",0.0234623685104737,0.595,0.405,-0.345858449155553,0.452608144309674,-0.171325822438893,0.219187748146966,-0.112812661565181,0.161500122047341
"6","b_vt:slow",-0.0253835489648783,0.398166666666667,0.601833333333333,-0.436866503191387,0.451499779991358,-0.239620221950754,0.193742630723606,-0.181059175392053,0.131746035963459
"7","b_pr:slow",0.0472491732276862,0.644,0.356,-0.51225395653478,0.583744780546187,-0.199360528291158,0.298566014575211,-0.131496539709823,0.232143557861744
"8","b_vt:agcent",0.367790854125232,0.995166666666667,0.00483333333333333,-0.216227946361981,0.937365598998576,0.100585466091597,0.650737091860336,0.167847238799807,0.567554433921452
"9","b_pr:agcent",0.0256595864147108,0.599333333333333,0.400666666666667,-0.414108201366255,0.509734605373787,-0.205070400875359,0.25471668672302,-0.139035179193147,0.189356436283067
"10","b_slow:agcent",0.110477992353013,0.8115,0.1885,-0.411246188724356,0.616146295884335,-0.142613981499777,0.364537318680577,-0.0733454226417093,0.297532982065201
"11","b_vt:pr:slow",-0.0515295319253149,0.318666666666667,0.681333333333333,-0.51255550169911,0.653827591778733,-0.268518792430032,0.168866238901228,-0.206401125910751,0.101288021340151
"12","b_vt:pr:agcent",0.0899668621429678,0.774666666666667,0.225333333333333,-0.476410660957876,0.661174589316114,-0.166819062755425,0.335354866358459,-0.0904978503494323,0.268591708543722
"13","b_vt:slow:agcent",0.112572511583887,0.854,0.146,-0.331458086294781,0.582243892016413,-0.102446716565801,0.325459324767765,-0.043439118642288,0.270773737209636
"14","b_pr:slow:agcent",-0.0503588121249034,0.334166666666667,0.665833333333333,-0.497767144874893,0.3733238566906,-0.292251147520036,0.189058988435979,-0.220602035171554,0.121328839708202
"15","b_vt:pr:slow:agcent",-0.0284773540117597,0.396166666666667,0.603833333333333,-0.576147234050445,0.398267074100922,-0.246852015124638,0.194570002788475,-0.184158762588246,0.13013284397507
