"","id","Time","MD5.hash","task","Ordre","seq","Condition","Item","in","rep.equation","RT.equation","completion","RT.completion","res.equation","cor.equation","nbr.NP1","nbr.comp","attachment","halfsession","helpsession","verbetype","prompt","vtype","prime","amount.cor.equation","age"
"1",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",40,0,"stat_high","15","in","75","48537","en avaient besoin","9123","75",1,"pl","pl",1,0,1,"stat","high",0,1,16,"23"
"2",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",24,0,"stat_high","7","in","70","16957","étaient libres","14141","70",1,"pl","pl",1,0,2,"stat","high",0,1,16,"23"
"3",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",20,0,"stat_high","5","in","81","8581","lui avaient demandé","37493","81",1,"pl","pl",1,0,3,"stat","high",0,1,16,"23"
"4",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",29,0,"stat_low","10","in","93","16078","était blonde","8550","93",1,"sg","sg",1,0,4,"stat","low",0,0,16,"23"
"5",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",41,0,"stat_low","16","in","101","9718","avaient préparé une présentation","11462","101",1,"pl","pl",1,0,5,"stat","low",0,0,16,"23"
"6",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",36,0,"stat_high","13","in","50","9295","était végétarien","8588","72",0,"sg","sg",1,0,6,"stat","high",0,1,16,"23"
"7",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",49,0,"stat_low","20","in","100","9340","habitait sur un bateau","18613","100",1,"sg","sg",1,0,7,"stat","low",0,0,16,"23"
"8",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",44,0,"stat_high","17","in","79","11101","trafiquaient les comptes","8653","79",1,"pl","pl",1,0,8,"stat","high",0,1,16,"23"
"9",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",32,0,"stat_high","11","in","20","7158","avaient une chambre de libre","11933","48",0,"pl","pl",1,0,9,"stat","high",0,1,16,"23"
"10",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",21,0,"stat_low","6","in","126","11262","lui avaient manqué de respect","14333","116",0,"pl","pl",1,1,10,"stat","low",0,0,16,"23"
"11",2,1580120356,"09d319a6aeafb8a61058a106445e0220","completion",25,0,"stat_low","8","in","97","16598","voulait raconter ses histoires uniques","18942","97",1,"sg","sg",1,1,11,"stat","low",0,0,16,"23"
