"","Time","MD5.hash","task","Ordre","seq","Condition","Item","in","completion","id"
"137",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","age","23",2
"138",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","nationality","Francaise",2
"139",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","activity","Sciences sociales",2
"140",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","birth","Maroc",2
"141",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","L1","Francais",2
"142",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","L1","1005",2
"143",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","consent","yes",2
"144",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","gender","male",2
"145",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","academics","bac",2
"146",1580120356,"09d319a6aeafb8a61058a106445e0220","completion",2,0,"intro","NULL","_REACTION_TIME_","1300157",2
"273",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","age","19",3
"274",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","nationality","ivoirienne",3
"275",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","activity","MIASHS",3
"276",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","birth","Abidjan_Cote d'ivoire",3
"277",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","L1","français",3
"278",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","L1","5400",3
"279",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","consent","yes",3
"280",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","gender","female",3
"281",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","academics","L2",3
"282",1580146670,"af3ac6bb9c9a717a43876b97fd6bd8e1","completion",2,0,"intro","NULL","_REACTION_TIME_","4699658",3
"409",1580209990,"62647282935b1ad6561063527fd39a1b","completion",2,0,"intro","NULL","age","25",4
